openness,conscientiousness,extraversion,agreeableness,neuroticism,career,category
88.35,83.2,33.73,53.73,33.44,Video Editor,Creative Media and Design
70.79,82.58,87.77,61.87,35.13,Sales Manager,Business Management and Finance
66.31,76.09,59.23,76.26,30.23,Physiotherapist,Healthcare and Medical
78.66,83.59,45.9,57.51,37.71,Mobile App Developer,Technology and IT
88.81,82.93,33.34,49.55,30.66,Machine Learning Engineer,Technology and IT
71.22,77.65,90.93,73.21,31.29,Sales Manager,Business Management and Finance
77.61,78.96,59.64,64.95,22.52,Business Analyst,Business Management and Finance
54.76,84.57,64.65,68.56,20.83,Police Officer,Law Government and Security
74.99,100.0,34.09,44.8,23.14,Chemical Engineer,Engineering and Architecture
82.74,86.99,61.29,75.98,25.41,Professor,Education and Research
53.64,100.0,28.73,63.55,31.03,Medical Laboratory Technologist,Healthcare and Medical
64.19,95.1,50.22,79.59,33.28,Dentist,Healthcare and Medical
90.95,79.08,57.89,88.15,37.57,Professor,Education and Research
74.43,88.46,58.47,88.77,40.52,Academic Advisor,Education and Research
59.98,94.46,62.75,60.32,14.61,Pilot,Law Government and Security
62.62,94.73,31.53,59.8,23.84,Medical Laboratory Technologist,Healthcare and Medical
69.69,86.89,45.98,53.52,38.19,DevOps Engineer,Technology and IT
82.4,96.85,28.77,54.9,31.41,Cybersecurity Analyst,Technology and IT
86.2,81.25,44.17,57.31,26.1,Machine Learning Engineer,Technology and IT
76.46,93.54,70.62,79.89,28.61,Civil Servant CSS Officer,Law Government and Security
54.34,84.45,74.61,59.49,8.88,Army Officer,Law Government and Security
73.03,84.53,45.45,59.46,35.65,Industrial Engineer,Engineering and Architecture
86.09,76.7,78.75,64.1,38.34,Journalist,Creative Media and Design
77.42,92.71,87.62,49.65,28.65,Lawyer,Law Government and Security
68.34,86.15,46.23,51.6,24.84,Civil Engineer,Engineering and Architecture
86.28,62.24,47.46,61.71,33.43,Photographer,Creative Media and Design
65.17,79.22,60.87,63.01,35.46,Business Analyst,Business Management and Finance
69.26,74.75,66.27,85.78,37.43,Social Worker,Social and Behavioral Sciences
67.14,94.87,34.77,66.05,33.83,Medical Laboratory Technologist,Healthcare and Medical
91.29,81.84,39.54,62.07,37.71,Machine Learning Engineer,Technology and IT
86.87,64.76,55.7,56.48,48.37,Graphic Designer,Creative Media and Design
76.6,89.25,29.9,49.46,28.6,Chemical Engineer,Engineering and Architecture
80.87,66.41,78.65,51.61,38.16,Digital Marketing Specialist,Creative Media and Design
82.05,64.98,57.36,56.93,31.22,Photographer,Creative Media and Design
89.84,54.74,45.39,58.96,48.13,Animator,Creative Media and Design
55.78,87.03,64.12,68.73,17.76,Army Officer,Law Government and Security
76.89,64.85,31.13,74.08,34.08,Video Editor,Creative Media and Design
49.9,91.12,29.51,52.8,25.77,Accountant,Business Management and Finance
91.29,81.98,51.57,88.46,35.98,Psychologist,Social and Behavioral Sciences
74.85,92.15,61.28,69.44,26.89,Civil Servant CSS Officer,Law Government and Security
70.52,76.07,68.14,77.37,25.74,Teacher,Education and Research
82.42,88.29,68.52,55.73,28.92,Lawyer,Law Government and Security
65.68,91.53,44.73,53.9,31.07,DevOps Engineer,Technology and IT
62.69,95.72,47.61,67.76,9.44,Surgeon,Healthcare and Medical
79.57,89.95,60.87,90.46,33.15,Doctor,Healthcare and Medical
58.8,85.56,76.66,67.31,23.12,Army Officer,Law Government and Security
58.7,71.52,57.53,90.49,30.68,Physiotherapist,Healthcare and Medical
62.84,90.24,36.5,47.54,25.71,Financial Analyst,Business Management and Finance
77.79,71.26,36.02,58.44,42.41,Video Editor,Creative Media and Design
91.61,92.76,31.63,66.68,23.63,AI Engineer,Technology and IT
74.58,80.15,46.66,65.71,37.89,Industrial Engineer,Engineering and Architecture
80.84,80.43,34.58,55.23,26.56,Data Scientist,Technology and IT
73.44,70.78,37.1,55.3,28.99,Video Editor,Creative Media and Design
90.71,70.45,53.45,72.32,25.58,Architect,Engineering and Architecture
89.71,62.06,52.69,98.82,38.73,Psychologist,Social and Behavioral Sciences
68.57,90.15,56.29,61.81,28.6,Civil Engineer,Engineering and Architecture
86.2,83.77,50.47,69.86,35.8,Architect,Engineering and Architecture
72.18,80.58,37.99,44.48,33.79,Mobile App Developer,Technology and IT
84.56,69.54,47.74,65.24,35.58,Content Writer,Creative Media and Design
69.95,80.0,74.96,89.37,27.14,Teacher,Education and Research
64.3,67.07,85.91,88.36,30.48,HR Manager,Business Management and Finance
87.31,58.63,47.12,56.65,46.4,Graphic Designer,Creative Media and Design
68.31,86.1,38.37,43.14,24.8,Cybersecurity Analyst,Technology and IT
92.19,70.51,57.83,69.23,24.54,UI UX Designer,Creative Media and Design
63.68,85.48,66.57,82.18,26.94,Nutritionist,Healthcare and Medical
93.57,98.88,58.83,75.4,25.23,Professor,Education and Research
71.01,98.44,48.78,61.94,28.44,Industrial Engineer,Engineering and Architecture
66.54,82.52,83.61,88.67,35.13,Teacher,Education and Research
59.82,82.12,61.32,76.9,27.09,Project Manager,Business Management and Finance
83.43,73.5,48.46,59.5,43.69,Photographer,Creative Media and Design
69.27,96.5,67.47,67.66,11.99,Judge,Law Government and Security
68.81,87.36,45.3,55.41,23.7,DevOps Engineer,Technology and IT
61.81,83.57,35.19,44.3,25.17,Financial Analyst,Business Management and Finance
91.26,62.52,59.87,59.04,36.22,UI UX Designer,Creative Media and Design
81.33,84.93,34.43,52.55,28.36,Chemical Engineer,Engineering and Architecture
90.22,67.77,54.72,58.76,37.36,UI UX Designer,Creative Media and Design
90.12,74.58,39.97,54.95,22.81,Machine Learning Engineer,Technology and IT
83.71,72.76,83.24,65.45,29.37,Marketing Manager,Business Management and Finance
75.4,93.76,37.18,54.02,23.2,Chemical Engineer,Engineering and Architecture
100.0,76.43,56.64,89.4,30.38,Psychologist,Social and Behavioral Sciences
70.96,79.68,62.29,83.06,36.31,Teacher,Education and Research
78.1,86.6,66.84,78.73,30.35,Lecturer,Education and Research
65.24,94.94,25.43,54.46,25.36,Database Administrator,Technology and IT
72.28,89.81,50.57,53.36,28.22,DevOps Engineer,Technology and IT
82.82,86.52,43.3,53.2,26.5,Machine Learning Engineer,Technology and IT
58.27,92.98,69.05,69.06,6.78,Army Officer,Law Government and Security
71.51,80.19,51.31,87.36,29.05,Social Worker,Social and Behavioral Sciences
57.7,93.21,64.72,62.55,14.79,Army Officer,Law Government and Security
77.16,70.14,65.63,90.25,38.18,Social Worker,Social and Behavioral Sciences
68.28,90.96,78.26,71.32,32.66,Project Manager,Business Management and Finance
75.3,84.8,76.77,78.02,27.0,Project Manager,Business Management and Finance
82.28,77.47,32.68,70.34,31.35,Environmental Scientist,Environmental Science
93.31,56.37,55.2,61.4,42.32,Graphic Designer,Creative Media and Design
87.5,82.04,30.23,72.17,28.78,Environmental Scientist,Environmental Science
94.62,60.04,51.24,52.8,37.54,Graphic Designer,Creative Media and Design
71.4,84.47,60.99,90.67,28.38,Academic Advisor,Education and Research
85.54,85.44,63.42,78.4,36.96,Professor,Education and Research
88.67,72.97,54.07,90.8,37.37,Psychologist,Social and Behavioral Sciences
64.48,92.85,46.31,62.32,16.46,Chemical Engineer,Engineering and Architecture
80.62,64.96,53.44,60.06,38.02,UI UX Designer,Creative Media and Design
78.69,76.69,87.33,70.96,36.72,Sales Manager,Business Management and Finance
65.79,95.37,57.1,65.3,23.75,Judge,Law Government and Security
81.2,81.4,39.87,60.29,43.66,Mobile App Developer,Technology and IT
90.38,64.15,43.96,61.79,37.91,Animator,Creative Media and Design
78.97,83.5,48.28,45.8,31.25,Web Developer,Technology and IT
73.13,81.23,40.24,56.09,24.51,Electrical Engineer,Engineering and Architecture
81.84,83.05,85.78,88.96,26.98,HR Manager,Business Management and Finance
93.61,57.42,39.24,63.34,40.5,Graphic Designer,Creative Media and Design
61.23,88.35,41.07,55.57,20.63,Electrical Engineer,Engineering and Architecture
85.22,82.97,35.45,69.21,33.52,Civil Engineer,Engineering and Architecture
70.22,86.37,41.32,57.03,32.66,DevOps Engineer,Technology and IT
91.52,82.29,33.95,58.83,28.23,Data Scientist,Technology and IT
87.77,68.71,59.11,100.0,32.3,Psychologist,Social and Behavioral Sciences
91.96,72.37,76.12,55.25,40.68,Entrepreneur,Business Management and Finance
52.01,97.96,27.79,54.54,25.2,Accountant,Business Management and Finance
73.96,69.95,79.81,86.8,32.58,Teacher,Education and Research
67.49,98.86,34.74,70.64,30.15,Medical Laboratory Technologist,Healthcare and Medical
77.98,97.97,72.72,69.13,23.33,Civil Servant CSS Officer,Law Government and Security
68.19,98.88,41.24,51.63,36.43,Electrical Engineer,Engineering and Architecture
73.87,83.97,69.06,84.23,27.54,Academic Advisor,Education and Research
58.76,100.0,61.56,60.37,21.44,Pilot,Law Government and Security
63.58,91.05,43.07,73.95,23.39,Pharmacist,Healthcare and Medical
67.08,94.79,48.44,72.23,16.34,Surgeon,Healthcare and Medical
87.97,68.48,58.98,64.31,36.41,UI UX Designer,Creative Media and Design
87.94,93.76,33.55,52.72,33.6,Data Scientist,Technology and IT
67.9,87.9,37.74,47.02,29.93,Chemical Engineer,Engineering and Architecture
76.53,92.97,45.28,57.38,28.23,Mechanical Engineer,Engineering and Architecture
73.44,84.56,45.62,54.43,25.44,Industrial Engineer,Engineering and Architecture
91.8,74.61,50.3,70.77,26.0,Architect,Engineering and Architecture
79.57,74.3,41.53,46.4,35.97,Mobile App Developer,Technology and IT
82.71,87.88,36.28,57.2,30.85,DevOps Engineer,Technology and IT
96.01,84.65,43.85,50.18,25.66,Machine Learning Engineer,Technology and IT
73.03,82.78,38.91,56.59,15.65,Software Engineer,Technology and IT
95.78,70.33,52.53,62.27,37.01,UI UX Designer,Creative Media and Design
75.44,87.54,88.71,54.96,35.46,Lawyer,Law Government and Security
85.53,82.52,42.66,69.49,25.41,Content Writer,Creative Media and Design
98.65,84.82,34.04,66.28,30.28,Researcher,Education and Research
83.18,83.25,72.06,66.16,18.09,Project Manager,Business Management and Finance
92.2,67.85,50.44,54.86,37.3,Graphic Designer,Creative Media and Design
66.31,81.85,65.06,79.27,43.27,Nutritionist,Healthcare and Medical
78.65,68.2,38.01,57.42,39.71,Video Editor,Creative Media and Design
75.17,83.54,53.48,57.73,31.2,Business Analyst,Business Management and Finance
61.71,97.21,63.79,61.02,22.09,Army Officer,Law Government and Security
92.84,57.3,46.71,63.77,41.23,Graphic Designer,Creative Media and Design
74.45,83.61,82.95,55.98,29.38,Lawyer,Law Government and Security
83.85,73.59,80.49,60.76,34.58,Journalist,Creative Media and Design
75.85,74.37,81.69,81.72,30.55,HR Manager,Business Management and Finance
73.28,74.38,52.29,50.66,26.4,Mobile App Developer,Technology and IT
85.88,63.49,54.78,57.7,31.86,Photographer,Creative Media and Design
72.31,70.75,85.57,88.93,33.07,HR Manager,Business Management and Finance
59.0,91.15,32.17,48.43,25.64,Database Administrator,Technology and IT
74.42,89.22,33.29,34.65,23.84,Cybersecurity Analyst,Technology and IT
82.15,78.56,31.93,49.59,33.36,Software Engineer,Technology and IT
69.47,91.18,81.66,71.57,28.95,Project Manager,Business Management and Finance
74.44,84.27,79.27,56.01,33.79,Lawyer,Law Government and Security
66.34,88.61,33.9,67.0,28.1,Radiologist,Healthcare and Medical
50.08,83.58,64.43,71.82,19.29,Police Officer,Law Government and Security
94.79,76.54,84.67,65.03,40.77,Marketing Manager,Business Management and Finance
76.61,85.31,46.93,52.59,31.49,Mobile App Developer,Technology and IT
71.49,87.06,50.19,80.47,26.88,Physiotherapist,Healthcare and Medical
73.49,82.21,50.47,68.11,34.18,Web Developer,Technology and IT
79.83,91.55,42.27,59.76,34.48,Civil Engineer,Engineering and Architecture
90.22,43.93,46.39,58.14,38.11,Graphic Designer,Creative Media and Design
72.87,88.11,32.7,47.9,29.14,Cloud Engineer,Technology and IT
83.87,82.4,38.93,73.1,31.97,Environmental Scientist,Environmental Science
70.53,95.71,53.11,64.17,13.74,Surgeon,Healthcare and Medical
91.51,90.94,47.27,59.97,25.34,Machine Learning Engineer,Technology and IT
72.22,89.03,49.38,73.3,19.67,Surgeon,Healthcare and Medical
62.99,90.34,31.08,64.9,34.54,Radiologist,Healthcare and Medical
92.45,54.59,51.32,60.33,32.37,Graphic Designer,Creative Media and Design
92.74,76.33,39.54,74.55,36.55,Environmental Scientist,Environmental Science
88.21,77.56,46.58,67.52,26.45,Environmental Scientist,Environmental Science
91.81,92.62,43.07,56.02,39.95,Researcher,Education and Research
81.85,84.47,37.37,61.28,26.68,Software Engineer,Technology and IT
66.99,93.4,77.3,50.7,36.2,Lawyer,Law Government and Security
73.41,89.51,32.18,65.78,31.94,Medical Laboratory Technologist,Healthcare and Medical
72.08,97.31,33.41,47.46,27.09,Chemical Engineer,Engineering and Architecture
69.16,73.61,36.94,69.4,30.68,Environmental Scientist,Environmental Science
63.59,83.75,43.91,57.87,32.38,Mechanical Engineer,Engineering and Architecture
68.09,75.45,50.98,90.32,34.8,Physiotherapist,Healthcare and Medical
66.92,88.64,50.64,76.69,10.83,Surgeon,Healthcare and Medical
71.52,82.33,32.28,48.11,23.6,Cybersecurity Analyst,Technology and IT
67.9,76.76,64.97,86.25,30.1,Academic Advisor,Education and Research
61.0,92.07,76.34,67.26,20.49,Army Officer,Law Government and Security
76.01,91.17,43.55,60.07,27.86,Electrical Engineer,Engineering and Architecture
71.83,81.74,41.3,50.92,24.8,Mechanical Engineer,Engineering and Architecture
77.44,70.1,98.21,58.41,30.33,Sales Manager,Business Management and Finance
76.67,89.16,72.62,83.37,35.73,Teacher,Education and Research
97.23,70.25,41.84,59.68,40.02,Graphic Designer,Creative Media and Design
67.45,100.0,71.95,80.35,24.03,Doctor,Healthcare and Medical
70.44,87.79,46.05,66.99,29.91,Mechanical Engineer,Engineering and Architecture
65.66,93.55,29.53,50.33,35.68,Mechanical Engineer,Engineering and Architecture
82.34,71.16,81.45,70.83,41.5,Marketing Manager,Business Management and Finance
87.82,92.67,32.81,58.11,30.58,AI Engineer,Technology and IT
79.04,84.25,48.01,61.34,30.96,Web Developer,Technology and IT
71.59,88.21,42.45,52.2,29.65,Electrical Engineer,Engineering and Architecture
90.42,61.35,42.84,59.9,33.94,Graphic Designer,Creative Media and Design
74.21,77.04,58.02,87.54,29.51,Academic Advisor,Education and Research
92.49,80.18,49.67,61.54,34.16,Architect,Engineering and Architecture
81.7,75.02,89.4,65.14,34.33,Digital Marketing Specialist,Creative Media and Design
57.28,95.83,26.19,52.12,32.68,Accountant,Business Management and Finance
86.7,60.29,53.6,66.69,41.96,UI UX Designer,Creative Media and Design
69.07,95.22,65.04,71.57,26.78,Project Manager,Business Management and Finance
72.33,93.09,38.8,41.07,27.37,Chemical Engineer,Engineering and Architecture
89.3,96.79,37.77,53.44,38.6,Researcher,Education and Research
77.97,82.3,61.09,65.33,22.95,Business Analyst,Business Management and Finance
77.21,88.95,58.94,80.36,32.34,Professor,Education and Research
89.67,90.45,41.27,60.54,32.52,Machine Learning Engineer,Technology and IT
91.39,87.97,56.28,93.42,30.61,Professor,Education and Research
69.92,91.85,63.88,81.99,19.15,Doctor,Healthcare and Medical
69.71,84.59,29.15,61.63,27.25,Radiologist,Healthcare and Medical
75.64,92.77,87.09,57.27,29.99,Lawyer,Law Government and Security
55.97,100.0,40.9,42.87,25.24,Financial Analyst,Business Management and Finance
81.62,83.32,42.69,53.92,31.36,Mobile App Developer,Technology and IT
82.47,62.85,45.61,58.26,38.07,Video Editor,Creative Media and Design
90.95,92.8,42.39,53.54,24.3,AI Engineer,Technology and IT
76.35,70.64,79.6,62.44,31.76,Digital Marketing Specialist,Creative Media and Design
70.53,90.79,42.54,55.25,30.49,Software Engineer,Technology and IT
65.57,77.33,52.7,64.39,34.91,Business Analyst,Business Management and Finance
82.31,85.73,67.58,71.74,18.42,Civil Servant CSS Officer,Law Government and Security
69.2,88.76,76.37,75.82,26.91,Project Manager,Business Management and Finance
94.14,75.03,38.6,61.13,25.25,Machine Learning Engineer,Technology and IT
71.26,85.77,85.52,50.22,33.18,Lawyer,Law Government and Security
72.52,90.04,63.9,60.32,34.27,Business Analyst,Business Management and Finance
85.21,73.47,74.98,66.55,32.56,Journalist,Creative Media and Design
60.84,95.72,33.88,48.87,22.47,Accountant,Business Management and Finance
77.11,99.56,50.18,59.83,35.83,Industrial Engineer,Engineering and Architecture
77.36,66.4,52.02,55.2,38.55,Animator,Creative Media and Design
81.21,53.96,48.58,60.57,38.97,Animator,Creative Media and Design
93.89,68.52,57.64,63.92,32.55,Photographer,Creative Media and Design
66.05,96.1,33.79,56.12,34.47,Cybersecurity Analyst,Technology and IT
100.0,92.54,38.17,55.19,15.77,Machine Learning Engineer,Technology and IT
65.46,91.48,39.04,71.95,19.33,Pharmacist,Healthcare and Medical
86.06,76.9,36.62,55.21,24.73,Data Scientist,Technology and IT
63.15,91.91,20.68,56.08,17.4,Accountant,Business Management and Finance
85.52,83.82,61.04,73.98,38.97,Lecturer,Education and Research
85.4,85.44,41.32,46.9,18.03,AI Engineer,Technology and IT
71.92,76.64,40.5,59.33,36.37,Web Developer,Technology and IT
71.61,92.02,69.1,65.11,14.43,Judge,Law Government and Security
86.84,61.22,52.92,66.54,40.01,UI UX Designer,Creative Media and Design
73.21,92.06,36.99,51.62,24.16,Cybersecurity Analyst,Technology and IT
91.22,74.08,76.98,59.13,36.11,Journalist,Creative Media and Design
58.76,90.49,26.19,49.92,21.01,Database Administrator,Technology and IT
63.56,92.14,44.22,79.9,28.11,Dentist,Healthcare and Medical
56.78,88.54,59.23,87.22,30.61,Physiotherapist,Healthcare and Medical
85.4,76.94,47.14,60.73,25.85,Content Writer,Creative Media and Design
92.41,86.37,43.2,68.39,32.99,Architect,Engineering and Architecture
86.22,80.12,70.65,77.32,28.88,Professor,Education and Research
77.6,67.88,83.03,66.15,27.41,Marketing Manager,Business Management and Finance
86.82,96.12,45.22,50.17,25.52,AI Engineer,Technology and IT
66.4,77.95,71.19,90.21,23.84,Academic Advisor,Education and Research
81.63,78.43,44.12,51.12,25.98,DevOps Engineer,Technology and IT
68.82,69.1,61.79,87.83,31.71,Social Worker,Social and Behavioral Sciences
89.07,50.61,45.14,59.28,42.62,Animator,Creative Media and Design
88.99,60.88,61.77,70.88,30.02,UI UX Designer,Creative Media and Design
71.94,96.15,48.68,56.28,29.99,Civil Engineer,Engineering and Architecture
65.96,77.9,61.24,86.95,32.37,Academic Advisor,Education and Research
84.81,88.85,39.16,53.34,24.09,Data Scientist,Technology and IT
75.59,90.66,78.39,63.67,24.64,Civil Servant CSS Officer,Law Government and Security
91.07,67.08,47.17,61.28,26.63,Graphic Designer,Creative Media and Design
72.44,71.8,93.65,67.4,41.2,Sales Manager,Business Management and Finance
68.56,69.6,89.6,65.07,41.41,Sales Manager,Business Management and Finance
78.53,89.11,44.08,47.9,30.76,Data Scientist,Technology and IT
91.06,67.7,80.81,59.21,42.03,Journalist,Creative Media and Design
80.59,63.78,77.08,61.93,37.15,Journalist,Creative Media and Design
82.39,72.1,84.8,62.21,31.62,Entrepreneur,Business Management and Finance
66.09,95.97,23.35,47.38,23.92,Database Administrator,Technology and IT
66.88,84.3,54.86,83.82,26.62,Physiotherapist,Healthcare and Medical
58.06,89.85,24.67,60.5,22.62,Medical Laboratory Technologist,Healthcare and Medical
50.96,100.0,53.17,62.54,16.8,Pilot,Law Government and Security
90.58,80.48,36.76,68.35,26.62,Researcher,Education and Research
75.2,76.92,61.62,85.72,33.25,Academic Advisor,Education and Research
69.84,94.48,42.21,67.13,29.18,Civil Engineer,Engineering and Architecture
90.15,78.03,56.98,93.15,31.06,Psychologist,Social and Behavioral Sciences
64.85,92.17,30.06,55.7,20.63,Database Administrator,Technology and IT
69.96,93.05,48.37,65.92,32.63,Industrial Engineer,Engineering and Architecture
66.53,93.54,43.52,55.24,23.32,Financial Analyst,Business Management and Finance
66.08,93.59,52.27,63.55,21.08,DevOps Engineer,Technology and IT
73.32,91.97,26.37,53.88,29.73,Chemical Engineer,Engineering and Architecture
87.97,66.4,51.2,64.1,49.69,Animator,Creative Media and Design
96.35,62.61,44.21,58.98,31.58,Animator,Creative Media and Design
80.25,69.02,89.67,67.55,22.81,Marketing Manager,Business Management and Finance
66.47,90.63,31.59,44.69,28.16,Cloud Engineer,Technology and IT
61.59,73.95,55.87,83.13,34.16,Physiotherapist,Healthcare and Medical
85.43,70.52,83.15,66.01,34.97,Digital Marketing Specialist,Creative Media and Design
66.76,67.9,67.67,84.43,22.28,Nutritionist,Healthcare and Medical
80.63,69.9,73.55,60.03,38.78,Journalist,Creative Media and Design
84.83,59.7,54.39,64.51,30.64,Photographer,Creative Media and Design
70.94,86.33,41.5,54.61,24.14,Mechanical Engineer,Engineering and Architecture
63.88,74.79,56.51,77.42,20.12,Physiotherapist,Healthcare and Medical
55.68,85.66,73.88,64.97,18.38,Police Officer,Law Government and Security
71.51,75.38,84.18,89.94,26.11,HR Manager,Business Management and Finance
80.18,97.36,39.57,45.24,21.59,DevOps Engineer,Technology and IT
90.49,74.78,40.27,63.08,32.82,Environmental Scientist,Environmental Science
88.4,58.74,46.41,49.78,41.19,Animator,Creative Media and Design
71.17,88.07,68.68,70.75,20.56,Civil Servant CSS Officer,Law Government and Security
80.4,65.22,87.74,68.26,38.55,Marketing Manager,Business Management and Finance
81.85,93.12,44.1,54.27,37.58,Software Engineer,Technology and IT
59.21,93.57,50.36,65.1,19.52,Judge,Law Government and Security
87.26,67.1,67.11,60.35,40.79,UI UX Designer,Creative Media and Design
84.19,68.01,47.32,60.75,41.96,Video Editor,Creative Media and Design
91.27,55.93,51.81,58.07,30.71,Photographer,Creative Media and Design
67.61,61.02,92.33,59.1,41.72,Sales Manager,Business Management and Finance
62.76,70.72,61.97,86.41,35.55,Nutritionist,Healthcare and Medical
65.07,85.17,33.4,69.63,30.12,Medical Laboratory Technologist,Healthcare and Medical
66.12,71.25,54.58,93.05,32.04,Social Worker,Social and Behavioral Sciences
74.23,92.08,61.36,72.85,22.16,Civil Servant CSS Officer,Law Government and Security
66.05,87.79,38.56,54.88,33.72,Chemical Engineer,Engineering and Architecture
71.37,83.04,70.07,76.68,21.31,Civil Servant CSS Officer,Law Government and Security
69.0,80.44,61.46,69.71,35.76,Business Analyst,Business Management and Finance
69.16,85.96,77.47,75.68,26.57,Project Manager,Business Management and Finance
59.14,80.5,41.59,50.33,27.58,Cloud Engineer,Technology and IT
100.0,78.87,35.0,54.54,30.96,Researcher,Education and Research
85.86,82.2,44.35,52.72,36.5,Data Scientist,Technology and IT
75.42,77.91,43.46,58.37,28.87,Mobile App Developer,Technology and IT
71.95,86.28,79.17,69.52,30.01,Project Manager,Business Management and Finance
78.75,82.93,42.16,54.14,36.86,Mobile App Developer,Technology and IT
53.02,92.16,74.7,63.04,19.7,Army Officer,Law Government and Security
74.57,88.5,71.76,86.09,30.33,Professor,Education and Research
78.86,81.18,40.9,61.16,23.21,Mechanical Engineer,Engineering and Architecture
87.24,95.7,47.29,57.86,25.49,AI Engineer,Technology and IT
70.85,87.28,59.67,90.33,35.79,Doctor,Healthcare and Medical
88.08,76.38,32.64,53.16,31.23,Data Scientist,Technology and IT
89.62,60.64,56.29,60.11,31.73,UI UX Designer,Creative Media and Design
95.8,86.13,49.63,62.44,37.01,Architect,Engineering and Architecture
70.8,82.62,55.54,65.68,27.28,Business Analyst,Business Management and Finance
93.17,95.85,33.18,52.7,27.6,Machine Learning Engineer,Technology and IT
75.95,86.34,67.41,64.61,26.34,Civil Servant CSS Officer,Law Government and Security
74.22,82.2,73.02,85.55,33.32,Lecturer,Education and Research
51.78,88.97,43.15,64.4,25.28,Pharmacist,Healthcare and Medical
63.94,77.71,30.51,52.12,22.85,Financial Analyst,Business Management and Finance
84.12,82.61,39.64,73.48,30.53,Environmental Scientist,Environmental Science
74.33,83.02,85.92,57.99,27.42,Lawyer,Law Government and Security
75.43,87.24,42.92,62.28,26.65,DevOps Engineer,Technology and IT
80.63,79.74,64.83,97.96,21.38,Academic Advisor,Education and Research
83.29,89.14,27.68,52.93,28.41,Software Engineer,Technology and IT
69.86,80.79,34.57,52.54,21.59,Cybersecurity Analyst,Technology and IT
91.65,74.57,86.88,57.51,39.59,Entrepreneur,Business Management and Finance
62.23,74.87,67.31,84.71,33.67,Nutritionist,Healthcare and Medical
69.49,65.43,48.01,57.01,30.3,Photographer,Creative Media and Design
85.76,54.74,44.47,57.83,48.02,Graphic Designer,Creative Media and Design
90.97,78.43,64.53,77.98,36.9,Professor,Education and Research
72.74,82.8,49.4,61.28,28.61,DevOps Engineer,Technology and IT
59.21,96.32,37.62,59.65,22.52,Pharmacist,Healthcare and Medical
85.97,63.29,53.73,66.81,28.13,UI UX Designer,Creative Media and Design
91.33,78.53,51.64,71.91,37.07,Content Writer,Creative Media and Design
63.68,94.09,24.64,63.82,26.53,Radiologist,Healthcare and Medical
73.14,90.1,35.61,54.33,27.57,Cybersecurity Analyst,Technology and IT
96.46,78.01,45.39,61.95,38.57,Architect,Engineering and Architecture
82.49,59.0,51.72,70.6,38.93,Photographer,Creative Media and Design
56.04,85.02,69.16,67.0,18.69,Police Officer,Law Government and Security
85.72,77.04,44.56,62.99,29.94,Machine Learning Engineer,Technology and IT
89.9,68.01,55.82,89.77,27.74,Psychologist,Social and Behavioral Sciences
81.55,95.76,64.94,82.57,28.53,Doctor,Healthcare and Medical
87.25,63.83,51.62,62.78,33.41,UI UX Designer,Creative Media and Design
100.0,98.49,35.97,50.26,24.43,AI Engineer,Technology and IT
72.73,75.05,88.2,71.72,29.83,Sales Manager,Business Management and Finance
63.02,85.78,66.56,63.89,26.17,Business Analyst,Business Management and Finance
73.95,91.16,72.04,75.08,32.02,Project Manager,Business Management and Finance
73.63,88.33,96.52,68.31,39.22,Sales Manager,Business Management and Finance
100.0,83.16,29.41,61.11,24.22,Researcher,Education and Research
68.46,75.48,77.38,81.84,37.23,HR Manager,Business Management and Finance
79.91,89.1,75.84,62.72,27.5,Lawyer,Law Government and Security
85.96,59.74,50.8,61.87,44.35,Animator,Creative Media and Design
86.68,64.12,55.8,61.86,32.18,Photographer,Creative Media and Design
67.97,87.41,41.07,50.38,20.56,Cybersecurity Analyst,Technology and IT
67.9,100.0,54.96,52.51,16.33,Pilot,Law Government and Security
66.22,77.72,74.58,74.44,43.2,Teacher,Education and Research
72.75,82.78,44.87,54.48,23.96,Mechanical Engineer,Engineering and Architecture
80.84,61.77,43.26,61.39,39.41,Animator,Creative Media and Design
70.83,81.1,85.75,68.5,41.12,Sales Manager,Business Management and Finance
75.75,70.89,60.46,90.05,25.38,Social Worker,Social and Behavioral Sciences
82.28,62.11,43.02,64.08,37.35,Animator,Creative Media and Design
76.58,73.49,87.59,70.21,35.76,Marketing Manager,Business Management and Finance
81.77,83.27,52.9,47.52,40.41,Web Developer,Technology and IT
72.25,91.26,67.83,66.04,33.21,Civil Servant CSS Officer,Law Government and Security
49.52,92.35,74.22,55.87,18.43,Army Officer,Law Government and Security
83.1,67.13,32.17,65.29,49.56,Animator,Creative Media and Design
72.02,94.35,67.94,70.85,24.8,Civil Servant CSS Officer,Law Government and Security
84.95,86.1,49.24,57.73,20.75,Industrial Engineer,Engineering and Architecture
79.69,74.78,52.85,52.56,29.36,Web Developer,Technology and IT
64.87,100.0,45.63,72.98,25.2,Pharmacist,Healthcare and Medical
66.94,79.21,40.94,75.79,26.06,Civil Engineer,Engineering and Architecture
83.69,89.34,86.48,56.46,39.01,Lawyer,Law Government and Security
57.9,96.87,77.0,57.32,15.62,Army Officer,Law Government and Security
78.4,70.5,85.5,64.44,33.94,Marketing Manager,Business Management and Finance
70.9,73.02,41.62,61.38,38.11,Mobile App Developer,Technology and IT
86.15,77.47,80.85,64.5,39.23,Entrepreneur,Business Management and Finance
